dataset,partition,K,head_ratio,lamda,model,hidden,epochs,lr,wd,seed,delete_type,delete_detail,PartitionTime,TrainTime,RetrainTime,UpdateTime,FusionTime,ValAcc,TestAcc,ValF1,TestF1,TestHeadAcc,TestTailAcc,MIA_All,MIA_Head,MIA_Tail
DBLP_bipartite,hctsa,4,0.2,1.0,gcn,128,50,0.01,0.001,42,node,10,0.418828,4.512185,2.442321,0.001366,0.607865,0.845869,0.828010,0.838363,0.819307,0.857820,0.795918,0.603869,0.612323,0.582529
DBLP_bipartite,hctsa,4,0.2,1.0,gcn,128,50,0.01,0.001,42,node,10,0.418098,4.161628,2.185930,0.001150,0.608246,0.850801,0.837838,0.844365,0.832748,0.872038,0.801020,0.456384,0.440074,0.498314
